keyword,nama,kategori,rating,jumlah_ulasan,alamat,telepon,latitude,longitude
"rumah makan Makassar,Rumah Makan & Catering Ulu Juku',Restoran Indonesia,""4,5"",3.731,""Jl. Prof. Abdurahman Basalamah No.99A, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",(0411) 421414,-5.1487306,119.4284579"
"toko retail Makassar,PT.ALASKA MANDIRI CEMERLANG,Toko Elektronik,""4,4"",8.871,""Jl. Pengayoman No.8, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",(0411) 422929,-5.1585138,119.4035287"
"toko retail Makassar,Supermarket Laundry Makassar,Toko Mesin Cuci & Pengering,""4,7"",65,""Jl. Pengayoman No.41, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",N/A,-5.1585138,119.4035287"
"toko retail Makassar,Grand Toserba Pengayoman,Toserba,""4,5"",11.334,""Jl. Pengayoman, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222"",N/A,-5.1585138,119.4035287"
"toko retail Makassar,R8Mart Alauddin,Toko,""4,6"",83,""Jl. Sultan Alauddin No.234, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221"",(0411) 883425,-5.1585138,119.4035287"
"toko retail Makassar,Azko Panakkukang Square,Pemasok Perlengkapan Toko,""4,6"",1.401,""Panakkukang Square, Jl. Adiyaksa No.1 Ground Floor, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",0855-1500-582,-5.1585138,119.4035287"
"toko retail Makassar,LOTTE MART PANAKKUKANG,Hipermarket,""4,5"",2.146,""RCRW+Q9R, Jl. Pengayoman, Mall Panakkukang Makassar Ground Floor & First Floor, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",0811-1350-7232,-5.1585138,119.4035287"
"toko retail Makassar,Sportstation,Toko Sepatu,""4,5"",131,""Jl. Letjen Hertasning, Tidung, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222"",N/A,-5.1585138,119.4035287"
"toko retail Makassar,MAKASSAR RAK,Pemasok Perlengkapan Toko,""5,0"",33,""Jl. Andi Djemma No.65, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"",0812-5696-8897,-5.1585138,119.4035287"
"toko retail Makassar,Toko Surya Terang Hertasning,Toko bahan makanan,""3,9"",35,""Jl. Letjen Hertasning No.37, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232"",0851-0588-7878,-5.1585138,119.4035287"
"toko retail Makassar,CitraCosmetic,Toko Kosmetik,""4,4"",1.015,""Jl. Boulevard No.5 Kel Blok A2, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",0812-4310-3208,-5.1585138,119.4035287"
"toko retail Makassar,Frestive Supermarket Sulawesi,Toko Swalayan,""4,9"",1.187,""Jl. Sulawesi No.91C, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90174"",0853-9592-9990,-5.1289461,119.3719239"
"toko retail Makassar,Toko Satu Sama,Toko Swalayan,""4,5"",7.410,""Jl. Landak Lama No.17, Labuang Baji, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132"",0821-6809-6992,-5.1289461,119.3719239"
"toko retail Makassar,Golden Sports,Toko Pakaian Olahraga,""4,8"",4,""Ruko Cornelia, Jl. Pengayoman No.26-27, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",(0411) 4663901,-5.1835628,119.4044045"
"minimarket Gowa,One Point Minimarket,Toko Swalayan,""4,3"",62,""Jl. Kacong Dg. Lalang No.147A, Tombolo, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113"",N/A,-5.1941297,119.4235214"
"minimarket Gowa,M3 Swalayan,Toko,""4,4"",29,""QFVF+3MV, Jl. Mangka DG. Bombong, Paccinongang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113"",0813-4138-9486,-5.1941297,119.4235214"
"minimarket Gowa,MAMU BASIC - Gowa,Toko Pakaian,""5,0"",393,""Jl. Sultan Hasanuddin No.175, Pandang Pandang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 90221"",0821-5694-2328,-5.1913715,119.406642"
"minimarket Gowa,AZKO Living Plaza Hertasning Gowa,Toko Perlengkapan Rumah,""5,0"",1.461,""RF99+C5J, Jl. Tun Abdul Razak, Tombolo, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 90233"",0855-1500-582,-5.1808638,119.4321367"
"minimarket Gowa,Cisanur mart Romangpolong,Minimarket,""4,7"",53,""Perumahan Mutiara indah Village Blok UU NO.43, Romangpolong, Kec. Bontomarannu, Kabupaten Gowa, Sulawesi Selatan 92118"",0821-9601-1802,-5.2110633,119.471068"
"minimarket Gowa,Raya Mart,Toko bahan makanan,""4,4"",158,""Jl. Manggis No.3, Romang Lompoa, Kec. Bontomarannu, Kabupaten Gowa, Sulawesi Selatan 92118"",N/A,-5.2110633,119.471068"
"minimarket Gowa,Sunmart Gowa - Toko Bangunan,Toko Bahan Bangunan,""4,7"",243,""Jl. Sultan Hasanuddin No.148, Pandang Pandang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 90221"",0853-9417-0000,-5.2110633,119.471068"
"minimarket Gowa,cisanur mart mawang,Minimarket,""4,8"",45,""Jl. Malino jalan damai 1, Mawang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92119"",0853-9864-4666,-5.2245005,119.4596018"
"minimarket Gowa,GADING BADJI MART,Minimarket,""5,0"",6,""QCHQ+5C5, Jl. Benteng Somba Opu, Jenetallasa, Kec. Pallangga, Kabupaten Gowa, Sulawesi Selatan 92161"",0821-5132-5683,-5.2220966,119.4025247"
"minimarket Gowa,TAAWUN WI MART,Minimarket,""5,0"",3,""Jl. Sirajuddin Rani No.1c, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111"",0853-9457-7780,-5.2220966,119.4025247"
"minimarket Gowa,Macca Mart,Minimarket,""3,8"",13,""PDAM, Depan Instalasi Penjernihan Air, Tamarunang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111"",0821-2544-1441,-5.2152459,119.4362831"
"minimarket Gowa,Mirany Mart,Toko bahan makanan,""5,0"",1,""Jl. Malino No.36, Tamarunang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111"",0823-9974-5807,-5.2152459,119.4362831"
"minimarket Gowa,My Mart,Minimarket,""4,3"",18,""Jl. Pallangga Raya No.34, Sungguminasa, Makassar, Kabupaten Gowa, Sulawesi Selatan 92161"",(0411) 8216722,-5.2282983,119.403696"
"minimarket Gowa,Sumigo Mart,Minimarket,N/A,N/A,""Jl. K. H. Wahid Hasyim No.3, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111"",0852-4157-5355,-5.2282983,119.403696"
"minimarket Gowa,Alfamidi,Minimarket,""3,5"",17,""RC4V+GPP, Jl. Sultan Hasanuddin, Pandang Pandang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111"",0812-1279-4961,-5.1936518,119.4082865"
"minimarket Gowa,Haomart Gowa,Toko Bahan Bangunan,""4,6"",56,""Jl. Tun Abdul Razak, Tombolo, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113"",0823-3225-3399,-5.1829505,119.4325155"
"minimarket Gowa,Indomaret Andi Tonro Gowa,Minimarket,""3,5"",40,""Jl. Andi Tonro No.77, Tombolo, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113"",(0411) 887565,-5.1829505,119.4325155"
"minimarket Gowa,Alfamart Bonto Tangnga Gowa,Minimarket,""3,7"",3,""RF5C+WFX, Jl. Bontotangnga, Paccinongang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 90233"",N/A,-5.1829505,119.4325155"
"warung makan Bone,Rumah makan bone tamparang,Restoran Masakan Ayam,""4,1"",611,""Jl. Daeng Tata Raya No.82 A, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224"",N/A,-5.18659,118.8484917"
"warung makan Bone,RM. BORA (Rumah makan BONERATE),Restoran,""3,8"",246,""RFP2+7F8, Borong, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90222"",N/A,-5.18659,118.8484917"
"warung makan Bone,Rumah Makan Bonena,Restoran,""3,8"",602,""Jl. Sultan Alauddin No.76, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221"",0896-1264-8546,-5.18659,118.8484917"
"warung makan Bone,Rumah Makan Bonelino,Restoran,""4,0"",756,""VC5Q+9F4, Unnamed Road, Tamamaung, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",N/A,-5.18659,118.8484917"
"warung makan Bone,Sop Konro Bawakaraeng Cab. Pengayoman,Restoran Sulawesi Selatan,""4,4"",725,""Jl. Pengayoman No.36, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",0813-5525-1756,-5.18659,118.8484917"
"warung makan Bone,""Rumah Makan """"Kaluku Resto"""""",Restoran Seafood,""4,3"",540,""C8X9+WW3, Jl. Husain Jeddawi No.44, Macege, Kec. Tanete Riattang Bar., Kabupaten Bone, Sulawesi Selatan 92712"",0851-4506-5859,-4.548824,119.7417325"
"warung makan Bone,Bonelompoa,Restoran,""3,8"",356,""Jl. Pongtiku No.66 Malimongan Baru, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90215, Malimongan Baru, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90152"",0852-4062-7736,-5.160661,118.871995"
"warung makan Bone,Saoenk Cobek Bone,Restoran,""4,8"",682,""Depan Kantor Dinas Sosial, Jl. Andalas, Manurunge, Kec. Tanete Riattang, Kabupaten Bone, Sulawesi Selatan 92712"",0811-405-343,-4.5430476,119.7469075"
"warung makan Bone,Warung Sate Madura Indah,Restoran Sate,""4,5"",119,""RCPV+FX2, Jl. Letjen Hertasning, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"",0856-5620-7748,-5.1638666,118.8681154"
"toko kelontong Parepare,Toko syahrani,Toko Perlengkapan Rumah,""4,3"",849,""Jl. Pelita Tenggara No.4, Ujung Bulu, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91113"",N/A,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko Fadly Fajar,Grosir Barang Kelontong,""4,7"",12,""Jl. Abubakar Lambogo, Ujung Lare, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131"",0821-9001-9299,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko Sinar Terang Mantao Pare,Toko Kue,""4,5"",929,""Jalan Bau Massepe No. 269 Kampung Baru Bacukiki Barat, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91121"",(0421) 21475,-4.0119855,119.5556235"
"toko kelontong Parepare,TOKO ROSE,Grosir Barang Kelontong,""4,3"",52,""XJJM+V87, Bumi Harapan, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91121"",0852-4162-5930,-4.0119855,119.5556235"
"toko kelontong Parepare,""Toko Frozen Food, Sembako & Bahan Kue SEMBAKOTA CLUSTER PAREPARE"",Toko Makanan,""4,8"",38,""Jl. Andi Sinta No.42, Ujung Lare, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131"",0812-4278-8788,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko Nusantara,Toko,""4,0"",14,""XJVF+73G, Jl. Baso Daeng Patompo, Ujung Sabbang, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91114"",N/A,-4.0119855,119.5556235"
"toko kelontong Parepare,TOKO SEMBAKO PALAGUNA JAYA KAYRA DAN KHALISAH,Toko bahan makanan,""5,0"",1,""Jl. Bau Massepe No.163, Kp. Baru, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91122"",N/A,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko Himalaya Store Elektronik Pecah Belah Parepare,Toko Perlengkapan Rumah,""4,7"",929,""Jl. Karaeng Burane No.8a, Mallusetasi, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91114"",0811-4252-828,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko Petta Sarru,Toko Kelontong Asia,""4,8"",4,""Jl. Lkr. Lapadde, Lapadde, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91112"",0821-5816-6828,-4.0119855,119.5556235"
"toko kelontong Parepare,Kios Alle,Toko Kelontong Asia,""5,0"",2,""Jl. Andi Cammi No.112, Mallusetasi, Kec. Ujung, Kota Parepare, Sulawesi Selatan"",N/A,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko sembako Erwin,Toko bahan makanan,""5,0"",1,""Jl. H. Agussalim No.132, Kp. Baru, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91111"",0821-8954-3987,-4.0119855,119.5556235"
"toko kelontong Parepare,Toko Import Malaysia us.naufal,Grosir Barang Kelontong,""4,4"",10,""XJRH+948, Ujung Baru, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131"",0852-4392-7003,-4.0119855,119.5556235"
